sg_idx,case,sample_rank,recon_index,mat,node,row_type,matched_mse_mean,matched_mse_node,feat_bin_mse,case_recover_mse_mean,case_recover_mse_var,case_feat_bin_mse_mean,case_feat_bin_mse_var
0,case1_exact_pattern,12,12,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 2.0 5.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],mean,sample_mean,3.736337161245556e-08,3.736337161245556e-08,0.04,,,,
0,case1_exact_pattern,13,13,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 2.0 3.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],2,node,1.9093621942491036e-08,9.356160286381046e-09,0.0,,,,
0,case1_exact_pattern,13,13,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 2.0 3.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],3,node,1.9093621942491036e-08,6.70183274835831e-08,0.0,,,,
0,case1_exact_pattern,13,13,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 2.0 3.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],6,node,1.9093621942491036e-08,2.9718511839529986e-35,0.0,,,,
0,case1_exact_pattern,13,13,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 2.0 3.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],9,node,1.9093621942491036e-08,8.261180532166971e-35,0.0,,,,
0,case1_exact_pattern,13,13,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 2.0 3.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],mean,sample_mean,1.9093621942491036e-08,1.9093621942491036e-08,0.0,,,,
0,case1_exact_pattern,14,14,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 2.0 4.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],2,node,2.4201062702404973e-08,2.978592332603689e-08,0.16,,,,
0,case1_exact_pattern,14,14,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 2.0 4.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],3,node,2.4201062702404973e-08,6.7018327483583e-08,0.0,,,,
0,case1_exact_pattern,14,14,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 2.0 4.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],6,node,2.4201062702404973e-08,9.63348089372202e-35,0.0,,,,
0,case1_exact_pattern,14,14,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 2.0 4.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],9,node,2.4201062702404973e-08,1.415254947368372e-34,0.0,,,,
0,case1_exact_pattern,14,14,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 2.0 4.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],mean,sample_mean,2.4201062702404973e-08,2.4201062702404973e-08,0.04,,,,
0,case1_exact_pattern,15,15,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 3.0 6.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],2,node,1.3572381105189483e-08,4.684304358924857e-08,0.0,,,,
0,case1_exact_pattern,15,15,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 3.0 6.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],3,node,1.3572381105189483e-08,7.446480831509361e-09,0.0,,,,
0,case1_exact_pattern,15,15,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 3.0 6.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],6,node,1.3572381105189483e-08,2.646837282155944e-34,0.0,,,,
0,case1_exact_pattern,15,15,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 3.0 6.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],9,node,1.3572381105189483e-08,1.2801723325223232e-32,0.0,,,,
0,case1_exact_pattern,15,15,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 3.0 6.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],mean,sample_mean,1.3572381105189483e-08,1.3572381105189483e-08,0.0,,,,
0,case1_exact_pattern,16,16,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 3.0 5.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],2,node,5.3685571181437016e-09,1.4027747641065589e-08,0.0,,,,
0,case1_exact_pattern,16,16,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 3.0 5.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],3,node,5.3685571181437016e-09,7.446480831509219e-09,0.0,,,,
0,case1_exact_pattern,16,16,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 3.0 5.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],6,node,5.3685571181437016e-09,3.1241757233604363e-34,0.0,,,,
0,case1_exact_pattern,16,16,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 3.0 5.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],9,node,5.3685571181437016e-09,8.615126318063532e-35,0.0,,,,
0,case1_exact_pattern,16,16,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 3.0 5.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],mean,sample_mean,5.3685571181437016e-09,5.3685571181437016e-09,0.0,,,,
0,case1_exact_pattern,17,17,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 3.0 4.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],2,node,2.6890069669338875e-09,3.309547036226322e-09,0.0,,,,
0,case1_exact_pattern,17,17,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 3.0 4.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],3,node,2.6890069669338875e-09,7.446480831509227e-09,0.0,,,,
0,case1_exact_pattern,17,17,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 3.0 4.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],6,node,2.6890069669338875e-09,3.151474661967907e-36,0.0,,,,
0,case1_exact_pattern,17,17,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 3.0 4.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],9,node,2.6890069669338875e-09,2.1835972168837092e-34,0.0,,,,
0,case1_exact_pattern,17,17,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 3.0 4.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],mean,sample_mean,2.6890069669338875e-09,2.6890069669338875e-09,0.0,,,,
