sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,ssim,psnr,case_mse_mean,case_mse_var,case_ssim_mean,case_ssim_var,case_psnr_mean,case_psnr_var
0,case2_zero_count,6,82,6,node,6.9650430390027e-05,0.00017501642436423294,0.04059793031263487,10.487490391066444,,,,,,
0,case2_zero_count,6,82,9,node,6.9650430390027e-05,3.149012599833356e-10,0.44419580007546716,16.82708999546132,,,,,,
0,case2_zero_count,6,82,mean,sample_mean,6.9650430390027e-05,6.9650430390027e-05,0.12951514260360497,11.78020131792059,,,,,,
0,case2_zero_count,7,95,2,node,7.951513378259038e-10,3.2426838905779467e-10,0.5536615222128605,17.30887286864978,,,,,,
0,case2_zero_count,7,95,3,node,7.951513378259038e-10,1.3908351184273685e-10,0.48323361130129117,18.673720546468992,,,,,,
0,case2_zero_count,7,95,6,node,7.951513378259038e-10,9.0648301762391e-35,0.6244704444626407,21.077724732392518,,,,,,
0,case2_zero_count,7,95,9,node,7.951513378259038e-10,2.7172534504030836e-09,0.5006182351342519,18.135080800511243,,,,,,
0,case2_zero_count,7,95,mean,sample_mean,7.951513378259038e-10,7.951513378259038e-10,0.540495953277761,18.798849737005632,,,,,,
0,case2_zero_count,8,100,2,node,2.446997802862873e-09,6.931654249205665e-09,0.4136110973727544,15.736467824751387,,,,,,
0,case2_zero_count,8,100,3,node,2.446997802862873e-09,1.390835118427361e-10,0.5803550728756318,19.76444143875932,,,,,,
0,case2_zero_count,8,100,6,node,2.446997802862873e-09,1.7771202754557556e-35,0.5984809180027936,20.50066687048001,,,,,,
0,case2_zero_count,8,100,9,node,2.446997802862873e-09,2.7172534504030907e-09,0.5346886191511208,18.65601644837357,,,,,,
0,case2_zero_count,8,100,mean,sample_mean,2.446997802862873e-09,2.446997802862873e-09,0.5317839268505751,18.664398145591072,,,,,,
0,case2_zero_count,9,105,2,node,5.503168565317946e-05,8.919324008939992e-06,0.001942045613729523,10.315390830483814,,,,,,
0,case2_zero_count,9,105,3,node,5.503168565317946e-05,0.00020549889242779787,0.041204298907874796,9.277853403292404,,,,,,
0,case2_zero_count,9,105,6,node,5.503168565317946e-05,6.919217138305693e-11,0.6022428609123268,21.05877907348021,,,,,,
0,case2_zero_count,9,105,9,node,5.503168565317946e-05,5.7084569838085946e-06,0.012325349389842753,8.498097246877848,,,,,,
0,case2_zero_count,9,105,mean,sample_mean,5.503168565317946e-05,5.503168565317946e-05,0.1644286387059435,12.287530138533569,,,,,,
0,case2_zero_count,10,128,2,node,3.9731665180001707e-05,2.1348096489039682e-05,0.03097914700048587,10.449545832598908,,,,,,
0,case2_zero_count,10,128,3,node,3.9731665180001707e-05,0.00011622899441275251,0.017924296295593042,9.268730043645391,,,,,,
0,case2_zero_count,10,128,6,node,3.9731665180001707e-05,2.1349384603128782e-05,0.0073780112292667,10.792880169699984,,,,,,
0,case2_zero_count,10,128,9,node,3.9731665180001707e-05,1.8521508584368866e-10,0.6020243977095404,20.041437869818957,,,,,,
0,case2_zero_count,10,128,mean,sample_mean,3.9731665180001707e-05,3.9731665180001707e-05,0.1645764630587215,12.63814847894081,,,,,,
0,case2_zero_count,11,160,2,node,4.24916651709199e-10,5.715447885568228e-10,0.43861604441282465,15.808315185226682,,,,,,
0,case2_zero_count,11,160,3,node,4.24916651709199e-10,1.3908351184273661e-10,0.4771335764494687,18.694166502831276,,,,,,
0,case2_zero_count,11,160,6,node,4.24916651709199e-10,5.172924010233321e-35,0.5870802840611261,20.577544741976116,,,,,,
0,case2_zero_count,11,160,9,node,4.24916651709199e-10,9.890383064372366e-10,0.580877596125966,19.81783530962642,,,,,,
0,case2_zero_count,11,160,mean,sample_mean,4.24916651709199e-10,4.24916651709199e-10,0.5209268752623464,18.72446543491512,,,,,,
0,case2_zero_count,12,164,2,node,1.3782196810341861e-09,2.65654176189092e-09,0.47219537670525397,16.215234668437255,,,,,,
0,case2_zero_count,12,164,3,node,1.3782196810341861e-09,1.390835118427364e-10,0.4858932637759173,18.774558476350915,,,,,,
0,case2_zero_count,12,164,6,node,1.3782196810341861e-09,8.56680567409391e-36,0.6053541410520515,20.63582833236846,,,,,,
0,case2_zero_count,12,164,9,node,1.3782196810341861e-09,2.717253450403088e-09,0.5668582471683141,19.46473850174459,,,,,,
0,case2_zero_count,12,164,mean,sample_mean,1.3782196810341861e-09,1.3782196810341861e-09,0.5325752571753842,18.772589994725305,,,,,,
0,case2_zero_count,13,197,2,node,2.2752603169586253e-05,7.784982648414817e-07,0.05937500170985734,11.107161676933153,,,,,,
0,case2_zero_count,13,197,3,node,2.2752603169586253e-05,7.778596901279033e-05,0.037684918566083254,9.509253101741521,,,,,,
0,case2_zero_count,13,197,6,node,2.2752603169586253e-05,6.919217138305712e-11,0.6316915986080888,21.220406200913764,,,,,,
0,case2_zero_count,13,197,9,node,2.2752603169586253e-05,1.2445876208541812e-05,0.04243811246197854,8.469331108388971,,,,,,
0,case2_zero_count,13,197,mean,sample_mean,2.2752603169586253e-05,2.2752603169586253e-05,0.19279740783650196,12.576538021994352,,,,,,
0,case2_zero_count,14,221,2,node,4.363983802580551e-05,2.5754378277503184e-05,0.0436951739583063,10.35626256210621,,,,,,
0,case2_zero_count,14,221,3,node,4.363983802580551e-05,0.00010301738525065902,0.023245212015228448,9.3664410674063,,,,,,
0,case2_zero_count,14,221,6,node,4.363983802580551e-05,6.91921713830573e-11,0.6467003221107364,21.587953742645553,,,,,,
0,case2_zero_count,14,221,9,node,4.363983802580551e-05,4.578751938288844e-05,0.029379737465544026,8.603571435628368,,,,,,
0,case2_zero_count,14,221,mean,sample_mean,4.363983802580551e-05,4.363983802580551e-05,0.18575511138745376,12.478557201946607,,,,,,
0,case2_zero_count,15,234,2,node,2.844174359677012e-08,1.1091063742483464e-07,0.25723811768916777,13.882478351477815,,,,,,
0,case2_zero_count,15,234,3,node,2.844174359677012e-08,1.390835118427363e-10,0.3941111843258674,17.651714945965807,,,,,,
0,case2_zero_count,15,234,6,node,2.844174359677012e-08,1.331567090621049e-34,0.672502939758739,21.830638841532345,,,,,,
0,case2_zero_count,15,234,9,node,2.844174359677012e-08,2.7172534504031014e-09,0.5433024703786908,18.741650397426838,,,,,,
0,case2_zero_count,15,234,mean,sample_mean,2.844174359677012e-08,2.844174359677012e-08,0.46678867803811624,18.026620634100702,,,,,,
0,case2_zero_count,16,271,2,node,3.285213236556418e-10,4.956884201790608e-10,0.4977567154675812,16.884339383333668,,,,,,
0,case2_zero_count,16,271,3,node,3.285213236556418e-10,1.3908351184273716e-10,0.4580397725976843,18.290958738271307,,,,,,
0,case2_zero_count,16,271,6,node,3.285213236556418e-10,6.793133626007693e-10,0.45920548328929844,18.814099877015547,,,,,,
0,case2_zero_count,16,271,9,node,3.285213236556418e-10,9.883174331913875e-36,0.6739027493995907,20.67629418533501,,,,,,
0,case2_zero_count,16,271,mean,sample_mean,3.285213236556418e-10,3.285213236556418e-10,0.5222261801885387,18.666423045988882,,,,,,
0,case2_zero_count,17,285,2,node,1.7609473600194414e-10,5.047259728576895e-10,0.546512413663371,17.57505571968965,,,,,,
0,case2_zero_count,17,285,3,node,1.7609473600194414e-10,1.99652971150087e-10,0.4648641666142412,18.433989264801646,,,,,,
0,case2_zero_count,17,285,6,node,1.7609473600194414e-10,2.3124098928322868e-35,0.6575374071295471,21.36470689619955,,,,,,
0,case2_zero_count,17,285,9,node,1.7609473600194414e-10,4.850126960636098e-37,0.7557829742671377,22.965195967182865,,,,,,
0,case2_zero_count,17,285,mean,sample_mean,1.7609473600194414e-10,1.7609473600194414e-10,0.6061742404185743,20.084736961968428,,,,,,
0,case2_zero_count,18,297,2,node,2.5565797440095975e-05,2.7069257299512172e-05,0.034813207935254956,10.335205292201678,,,,,,
0,case2_zero_count,18,297,3,node,2.5565797440095975e-05,2.706912674529542e-05,0.018088554162506373,9.369788668869774,,,,,,
0,case2_zero_count,18,297,6,node,2.5565797440095975e-05,4.812449081431632e-05,0.01938039043623975,10.48730212878138,,,,,,
0,case2_zero_count,18,297,9,node,2.5565797440095975e-05,3.149012599833347e-10,0.44407291232796503,17.224008085443096,,,,,,
0,case2_zero_count,18,297,mean,sample_mean,2.5565797440095975e-05,2.5565797440095975e-05,0.12908876621549153,11.854076043823982,,,,,,
0,case2_zero_count,19,301,2,node,4.569671336365659e-06,8.37043681769007e-06,0.02777186501149223,10.144222985181614,,,,,,
0,case2_zero_count,19,301,3,node,4.569671336365659e-06,1.5375473708356645e-06,0.04379512487354839,9.824292591541933,,,,,,
