num_nodes,mean_degree,trial,topology,graph_seed,num_edges,mean_degree_observed,degree_std,average_clustering,average_shortest_path
200,4,8,ring,2229640342,400,4.0,0.0,0.5,25.376884422110553
200,4,8,small_world,34186752,400,4.0,0.648074069840786,0.3521666666666667,5.897286432160804
200,4,8,scale_free,3383206022,400,4.0,4.540925015897091,0.10273242483424543,3.292462311557789
200,4,9,er,2822532919,400,4.0,1.9390719429665315,0.011043650793650793,3.9679396984924624
200,4,9,ring,3428836309,400,4.0,0.0,0.5,25.376884422110553
200,4,9,small_world,422866244,400,4.0,0.5477225575051661,0.40416666666666656,6.841206030150754
200,4,9,scale_free,294918764,400,4.0,4.253234063627348,0.054705192683133855,3.34964824120603
200,4,10,er,1407367251,400,4.0,1.7320508075688772,0.016154761904761908,4.035125628140704
200,4,10,ring,1251216532,400,4.0,0.0,0.5,25.376884422110553
200,4,10,small_world,4260374195,400,4.0,0.6164414002968976,0.387142857142857,6.5274371859296485
200,4,10,scale_free,2845755452,400,4.0,4.241462012089699,0.10299833925353541,3.366331658291457
200,4,11,er,3878426344,400,4.0,1.8110770276274832,0.029670634920634913,4.051507537688442
200,4,11,ring,2328983500,400,4.0,0.0,0.5,25.376884422110553
200,4,11,small_world,1350521344,400,4.0,0.6633249580710799,0.3696666666666666,6.397386934673367
200,4,11,scale_free,746879419,400,4.0,4.180908992073374,0.09515163718539679,3.345025125628141
200,4,12,er,1674879246,400,4.0,2.0542638584174138,0.02581349206349206,3.9932663316582913
200,4,12,ring,1459626548,400,4.0,0.0,0.5,25.376884422110553
200,4,12,small_world,2043311669,400,4.0,0.6,0.37433333333333324,6.186231155778894
200,4,12,scale_free,3379249988,400,4.0,4.414748010928823,0.08177293416651002,3.307638190954774
200,4,13,er,2099937255,400,4.0,1.9209372712298547,0.012698051948051951,3.9314572864321606
200,4,13,ring,1636059408,400,4.0,0.0,0.5,25.376884422110553
200,4,13,small_world,3833668974,400,4.0,0.5830951894845301,0.3843095238095236,6.600150753768844
200,4,13,scale_free,98403691,400,4.0,4.658325879540846,0.11235092155893862,3.2585929648241208
200,4,14,er,1567971986,400,4.0,1.760681686165901,0.01984126984126984,4.006984924623116
200,4,14,ring,3046878750,400,4.0,0.0,0.5,25.376884422110553
200,4,14,small_world,2269274430,400,4.0,0.5744562646538028,0.38566666666666655,6.279849246231156
200,4,14,scale_free,4181096602,400,4.0,4.354308211415448,0.08909984282129865,3.302964824120603
200,4,15,er,3649778407,400,4.0,1.977371993328519,0.01935642135642136,3.9846231155778895
200,4,15,ring,4164968903,400,4.0,0.0,0.5,25.376884422110553
200,4,15,small_world,479598359,400,4.0,0.5477225575051661,0.4098333333333331,6.857185929648241
200,4,15,scale_free,592650202,400,4.0,4.106093033529562,0.08525194072017332,3.3830150753768846
200,4,16,er,3569342298,400,4.0,1.9364916731037085,0.013511904761904758,3.9295979899497486
200,4,16,ring,2703134082,400,4.0,0.0,0.5,25.376884422110553
200,4,16,small_world,3707928081,400,4.0,0.6557438524302001,0.3875000000000001,6.194472361809045
200,4,16,scale_free,223993410,400,4.0,3.9862262855989496,0.03495786889021184,3.3813065326633165
