num_nodes,mean_degree,topology,corrupt_ratio,core_honest_size,count,probability
100,4,small_world,0.8,15,3,0.007936507936507936
100,4,small_world,0.8,17,1,0.0026455026455026454
100,4,small_world,0.8,18,2,0.005291005291005291
100,4,small_world,0.9,2,143,0.6137339055793991
100,4,small_world,0.9,3,56,0.24034334763948498
100,4,small_world,0.9,4,20,0.08583690987124463
100,4,small_world,0.9,5,7,0.030042918454935622
100,4,small_world,0.9,6,3,0.012875536480686695
100,4,small_world,0.9,7,4,0.017167381974248927
200,4,er,0.1,2,3,0.75
200,4,er,0.1,3,1,0.25
200,4,er,0.2,2,8,0.8888888888888888
200,4,er,0.2,3,1,0.1111111111111111
200,4,er,0.3,2,17,0.7083333333333334
200,4,er,0.3,3,6,0.25
200,4,er,0.3,4,1,0.041666666666666664
200,4,er,0.4,2,39,0.8863636363636364
200,4,er,0.4,3,3,0.06818181818181818
200,4,er,0.4,4,1,0.022727272727272728
200,4,er,0.4,6,1,0.022727272727272728
200,4,er,0.5,2,60,0.43795620437956206
200,4,er,0.5,3,7,0.051094890510948905
200,4,er,0.5,4,2,0.014598540145985401
200,4,er,0.5,63,1,0.0072992700729927005
200,4,er,0.5,70,3,0.021897810218978103
200,4,er,0.5,73,2,0.014598540145985401
200,4,er,0.5,74,2,0.014598540145985401
200,4,er,0.5,75,3,0.021897810218978103
200,4,er,0.5,76,8,0.058394160583941604
200,4,er,0.5,77,7,0.051094890510948905
200,4,er,0.5,78,7,0.051094890510948905
200,4,er,0.5,79,5,0.0364963503649635
200,4,er,0.5,80,7,0.051094890510948905
200,4,er,0.5,81,3,0.021897810218978103
200,4,er,0.5,82,8,0.058394160583941604
200,4,er,0.5,83,3,0.021897810218978103
200,4,er,0.5,84,5,0.0364963503649635
200,4,er,0.5,85,2,0.014598540145985401
200,4,er,0.5,86,1,0.0072992700729927005
200,4,er,0.5,89,1,0.0072992700729927005
200,4,er,0.6,2,49,0.29518072289156627
200,4,er,0.6,3,12,0.07228915662650602
200,4,er,0.6,4,2,0.012048192771084338
200,4,er,0.6,5,2,0.012048192771084338
200,4,er,0.6,6,1,0.006024096385542169
200,4,er,0.6,56,1,0.006024096385542169
200,4,er,0.6,59,1,0.006024096385542169
200,4,er,0.6,60,2,0.012048192771084338
200,4,er,0.6,61,6,0.03614457831325301
200,4,er,0.6,62,3,0.018072289156626505
200,4,er,0.6,63,8,0.04819277108433735
200,4,er,0.6,64,8,0.04819277108433735
200,4,er,0.6,65,6,0.03614457831325301
200,4,er,0.6,66,10,0.060240963855421686
200,4,er,0.6,67,15,0.09036144578313253
200,4,er,0.6,68,6,0.03614457831325301
200,4,er,0.6,69,13,0.0783132530120482
200,4,er,0.6,70,8,0.04819277108433735
200,4,er,0.6,71,5,0.030120481927710843
200,4,er,0.6,72,3,0.018072289156626505
200,4,er,0.6,73,1,0.006024096385542169
200,4,er,0.6,74,1,0.006024096385542169
200,4,er,0.6,75,1,0.006024096385542169
200,4,er,0.6,76,1,0.006024096385542169
200,4,er,0.6,78,1,0.006024096385542169
200,4,er,0.7,2,64,0.3404255319148936
200,4,er,0.7,3,13,0.06914893617021277
200,4,er,0.7,4,8,0.0425531914893617
200,4,er,0.7,5,1,0.005319148936170213
200,4,er,0.7,6,1,0.005319148936170213
