num_nodes,mean_degree,trial,topology,corrupt_ratio,partition_seed,n_honest,n_corrupt,direct_honest,eligible_honest,unrecoverable_honest,hssp_rank_feasible_honest,hlcp_rank_feasible_honest,eligible_core_count,max_core_honest_size,mean_core_honest_size,direct_recovery_rate,hssp_eligible_rate,structural_attackable_rate,hssp_rank_attackable_rate,hlcp_rank_attackable_rate,hssp_tractable_attackable_rate,hlcp_tractable_attackable_rate,max_core_fraction,hssp_feasible_core_probability,hlcp_feasible_core_probability
100,4,2,small_world,0.4,1531128707,60,40,0,0,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,2,scale_free,0.4,1531128707,60,40,0,0,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,2,er,0.5,1531128707,50,50,4,40,6,0,0,1,40,40.0,0.08,0.8,0.88,0.08,0.08,0.08,0.08,0.8,0,0
100,4,2,ring,0.5,1531128707,50,50,0,22,28,22,22,3,8,7.333333333333333,0.0,0.44,0.44,0.44,0.44,0.44,0.44,0.16,1,1
100,4,2,small_world,0.5,1531128707,50,50,0,11,39,11,11,1,11,11.0,0.0,0.22,0.22,0.22,0.22,0.0,0.0,0.22,1,1
100,4,2,scale_free,0.5,1531128707,50,50,3,35,12,0,0,1,35,35.0,0.06,0.7,0.76,0.06,0.06,0.06,0.06,0.7,0,0
100,4,2,er,0.6,1531128707,40,60,2,32,6,32,32,1,32,32.0,0.05,0.8,0.85,0.85,0.85,0.05,0.05,0.8,1,1
100,4,2,ring,0.6,1531128707,40,60,1,39,0,30,30,5,13,7.8,0.025,0.975,1.0,0.775,0.775,0.45,0.45,0.325,1,1
100,4,2,small_world,0.6,1531128707,40,60,0,40,0,13,13,3,27,13.333333333333334,0.0,1.0,1.0,0.325,0.325,0.05,0.05,0.675,1,1
100,4,2,scale_free,0.6,1531128707,40,60,1,33,6,0,0,1,33,33.0,0.025,0.825,0.85,0.025,0.025,0.025,0.025,0.825,0,0
100,4,2,er,0.7,1531128707,30,70,2,28,0,28,28,1,28,28.0,0.06666666666666667,0.9333333333333333,1.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.9333333333333333,1,1
100,4,2,ring,0.7,1531128707,30,70,2,28,0,25,25,7,6,4.0,0.06666666666666667,0.9333333333333333,1.0,0.9,0.9,0.9,0.9,0.2,1,1
100,4,2,small_world,0.7,1531128707,30,70,1,29,0,15,15,4,14,7.25,0.03333333333333333,0.9666666666666667,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,1,1
100,4,2,scale_free,0.7,1531128707,30,70,0,29,1,0,0,1,29,29.0,0.0,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,0.0,0.9666666666666667,0,0
100,4,2,er,0.8,1531128707,20,80,2,18,0,18,18,1,18,18.0,0.1,0.9,1.0,1.0,1.0,0.1,0.1,0.9,1,1
100,4,2,ring,0.8,1531128707,20,80,2,18,0,15,15,6,5,3.0,0.1,0.9,1.0,0.85,0.85,0.85,0.85,0.25,1,1
100,4,2,small_world,0.8,1531128707,20,80,0,20,0,15,15,7,5,2.857142857142857,0.0,1.0,1.0,0.75,0.75,0.75,0.75,0.25,1,1
100,4,2,scale_free,0.8,1531128707,20,80,1,19,0,0,0,1,19,19.0,0.05,0.95,1.0,0.05,0.05,0.05,0.05,0.95,0,0
100,4,2,er,0.9,1531128707,10,90,3,7,0,7,7,2,4,3.5,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0.4,1,1
100,4,2,ring,0.9,1531128707,10,90,2,8,0,8,8,4,2,2.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.2,1,1
100,4,2,small_world,0.9,1531128707,10,90,2,8,0,8,8,4,2,2.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.2,1,1
100,4,2,scale_free,0.9,1531128707,10,90,3,7,0,7,7,2,5,3.5,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0.5,1,1
100,4,3,er,0.1,3259956085,90,10,1,0,89,0,0,0,0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0,0
100,4,3,ring,0.1,3259956085,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,small_world,0.1,3259956085,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,scale_free,0.1,3259956085,90,10,1,0,89,0,0,0,0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0,0
100,4,3,er,0.2,3259956085,80,20,1,0,79,0,0,0,0,0.0,0.0125,0.0,0.0125,0.0125,0.0125,0.0125,0.0125,0.0,0,0
100,4,3,ring,0.2,3259956085,80,20,0,0,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,small_world,0.2,3259956085,80,20,0,0,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,scale_free,0.2,3259956085,80,20,3,0,77,0,0,0,0,0.0,0.0375,0.0,0.0375,0.0375,0.0375,0.0375,0.0375,0.0,0,0
100,4,3,er,0.3,3259956085,70,30,0,0,70,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,ring,0.3,3259956085,70,30,0,11,59,0,0,1,11,11.0,0.0,0.15714285714285714,0.15714285714285714,0.0,0.0,0.0,0.0,0.15714285714285714,0,0
100,4,3,small_world,0.3,3259956085,70,30,0,0,70,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
